dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,threshold_mode,threshold,env_thresholds,validation_strategy,validation_group_col,validation_groups,validation_removed_group_rows,validation_min_f1,validation_mean_f1,fit_rows,validation_rows,train_rows
gotham,random,all,lr_full,lr_full,sklearn_linear,full,native_default,native,,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,,,3389314,12000,3582968
gotham,random,all,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,single_validation_observed,0.0492,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,0.9749850593357807,0.9749850593357807,3389314,12000,3582968
gotham,random,all,lr_full__val_robust_minimax,lr_full,sklearn_linear,full,val_robust_minimax,single_validation_minimax,0.019799999999999998,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,0.6772923307706732,0.8996888449613151,3389314,12000,3582968
gotham,random,all,lr_full__oracle_env_upper_bound,lr_full,sklearn_linear,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.20600000000000002, ""delayed_collector"": 0.01, ""high_background"": 0.019799999999999998, ""low_sampling"": 0.451, ""observed"": 0.2158}",device_challenge,device_file,iotsim-city-power-1.csv,187654,0.9176369979483954,0.9834509786610088,3389314,12000,3582968
gotham,random,all,rf_full,rf_full,sklearn_tree,full,native_default,native,,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,,,3389314,12000,3582968
gotham,random,all,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,single_validation_observed,0.696,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,1.0,1.0,3389314,12000,3582968
gotham,random,all,rf_full__val_robust_minimax,rf_full,sklearn_tree,full,val_robust_minimax,single_validation_minimax,0.402,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,0.9999166597216435,0.9999166597216436,3389314,12000,3582968
gotham,random,all,rf_full__oracle_env_upper_bound,rf_full,sklearn_tree,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.4412, ""delayed_collector"": 0.6176, ""high_background"": 0.4412, ""low_sampling"": 0.6274, ""observed"": 0.7646}",device_challenge,device_file,iotsim-city-power-1.csv,187654,0.9999949344614287,0.9999975305482025,3389314,12000,3582968
gotham,random,all,xgb_full,xgb_full,xgboost,full,native_default,native,,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,,,3389314,12000,3582968
gotham,random,all,xgb_full__val_observed_f1,xgb_full,xgboost,full,val_observed_f1,single_validation_observed,0.9802,{},device_challenge,device_file,iotsim-city-power-1.csv,187654,1.0,1.0,3389314,12000,3582968
