detector,detector_family,feature_profile,observed_f1_mean,worst_intervention_f1_mean,hidden_drop_mean,hidden_drop_max
lgbm_full__val_observed_f1,lightgbm,full,0.9670689448358626,0.5745556224844418,0.3925133223514208,0.8466233765677066
cat_full__val_observed_f1,catboost,full,0.999020615054814,0.722818401901519,0.2762022131532949,0.390789319235211
lgbm_full__val_robust_minimax,lightgbm,full,0.9666722806937246,0.7353485347579358,0.23132374593578878,0.3763116626894688
lgbm_full,lightgbm,full,0.794204778105254,0.5722316507914745,0.22197312731377936,0.3314540555294844
cat_full,catboost,full,0.9980700713981632,0.783591875858486,0.21447819553967717,0.287132861990417
lgbm_full__oracle_env_upper_bound,lightgbm,full,0.9706415160368743,0.7570479476711743,0.21359356836570006,0.32232735278192937
xgb_full__val_observed_f1,xgboost,full,0.9717669645057062,0.7802909378769828,0.19147602662872346,0.3105727012504701
iforest_env_sensitive__val_robust_minimax,sklearn_anomaly,env_sensitive,0.8912934178076987,0.70082953863935,0.19046387916834862,0.3075139801703524
xgb_full,xgboost,full,0.9708631949493046,0.7856811006456521,0.18518209430365248,0.30829125082317343
iforest_env_sensitive__val_observed_f1,sklearn_anomaly,env_sensitive,0.6835831036389916,0.5006391554611521,0.1829439481778394,0.2979491063172812
iforest_env_sensitive,sklearn_anomaly,env_sensitive,0.9453489836955941,0.8068139456092908,0.13853503808630327,0.22899113655342973
lr_full__val_observed_f1,sklearn_linear,full,0.9743429041684103,0.8632881203931823,0.11105478377522808,0.16808981988499472
lr_full,sklearn_linear,full,0.9577509741609685,0.8539077642906924,0.10384320987027618,0.124499258836128
lr_full__val_robust_minimax,sklearn_linear,full,0.9797367413754925,0.8824165293846664,0.09732021199082615,0.15427685704076077
lr_full__oracle_env_upper_bound,sklearn_linear,full,0.9797757164317035,0.8925897240759504,0.08718599235575315,0.1331254148404417
rf_full__val_observed_f1,sklearn_tree,full,0.8284329299227103,0.743432553385361,0.08500037653734942,0.13573493027442907
pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod,env_sensitive,0.7379679647745117,0.6699231250093294,0.06804483976518237,0.1586447135025318
pyod_ecod_env_sensitive__val_observed_f1,pyod_ecod,env_sensitive,0.704394857403928,0.6456405617837097,0.0587542956202183,0.12255669142364028
rf_full,sklearn_tree,full,0.9865611177404153,0.9298088643599254,0.056752253380490024,0.15988802284071457
rf_full__val_robust_minimax,sklearn_tree,full,0.974116890796843,0.9187383548974122,0.05537853589943098,0.1504349179287532
iforest_env_sensitive__oracle_env_upper_bound,sklearn_anomaly,env_sensitive,0.9854401507011793,0.9315175935059385,0.05392255719524075,0.08360219354170739
cat_full__val_robust_minimax,catboost,full,0.9963872823003274,0.9449898533952297,0.051397428905097686,0.07890056015449232
cat_full__oracle_env_upper_bound,catboost,full,0.9999135880885953,0.9504667444013633,0.049446843687231956,0.07817204227704166
xgb_full__val_robust_minimax,xgboost,full,0.9696334265384193,0.9218825128038509,0.04775091373456841,0.09050422600754182
pyod_copod_env_sensitive__val_observed_f1,pyod_copod,env_sensitive,0.5311165873915743,0.48809827851660303,0.04301830887497122,0.08577266984634144
pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,0.4342775797666545,0.4135841601225269,0.02069341964412763,0.0361802011303376
xgb_full__oracle_env_upper_bound,xgboost,full,0.9717730721141903,0.9536109843597856,0.01816208775440457,0.05316685461945092
pyod_copod_env_sensitive__val_robust_minimax,pyod_copod,env_sensitive,0.7259043347971325,0.7106276267085048,0.015276708088627688,0.03169341136107484
pyod_ecod_env_sensitive__oracle_env_upper_bound,pyod_ecod,env_sensitive,0.8695566742880164,0.8543815371270669,0.015175137160949537,0.026020829455648653
pyod_copod_env_sensitive__oracle_env_upper_bound,pyod_copod,env_sensitive,0.8220915055664663,0.8122362826844949,0.00985522288197127,0.015428955741105588
pyod_copod_env_sensitive,pyod_copod,env_sensitive,0.31089310322619196,0.30740208641663175,0.0034910168095602287,0.010473050428680686
rf_full__oracle_env_upper_bound,sklearn_tree,full,0.9999669715937768,0.9998254283374793,0.00014154325629741246,0.00033098583008028815


