dataset,split,fold,detector,detector_family,feature_profile,observed_f1,worst_intervention_f1,worst_hidden_drop
gotham,device,all,lgbm_full__val_observed_f1,lightgbm,full,0.9966547966799586,0.150031420112252,0.8466233765677066
gotham,device,all,cat_full__val_observed_f1,catboost,full,0.9998758962526101,0.6090865770173991,0.390789319235211
gotham,random,all,lgbm_full__val_robust_minimax,lightgbm,full,0.9999971506156095,0.6236854879261406,0.3763116626894688
gotham,device,all,lgbm_full,lightgbm,full,0.4780619798910698,0.14660792436158537,0.3314540555294844
gotham,random,all,lgbm_full,lightgbm,full,0.9999990502076088,0.6770719375164393,0.32292711269116947
gotham,random,all,lgbm_full__oracle_env_upper_bound,lightgbm,full,0.999999366804872,0.6776720140229426,0.32232735278192937
gotham,random,all,lgbm_full__val_observed_f1,lightgbm,full,0.999998733610546,0.6776720140229426,0.3223267195876034
gotham,device,all,xgb_full__val_observed_f1,xgboost,full,0.9999109919136362,0.6893382906631661,0.3105727012504701
gotham,device,all,xgb_full,xgboost,full,0.9972234549920929,0.6889322041689194,0.30829125082317343
gotham,device,all,lgbm_full__oracle_env_upper_bound,lightgbm,full,0.9966687436690302,0.6887683048741319,0.30790043879489837
gotham,time,all,iforest_env_sensitive__val_robust_minimax,sklearn_anomaly,env_sensitive,0.7650737067923222,0.4575597266219698,0.3075139801703524
gotham,device,all,lgbm_full__val_robust_minimax,lightgbm,full,0.995466387248481,0.6886162435693103,0.30685014367917074
gotham,random,all,iforest_env_sensitive__val_observed_f1,sklearn_anomaly,env_sensitive,0.9183719546540483,0.6204228483367671,0.2979491063172812
gotham,device,all,cat_full,catboost,full,0.9991599726114331,0.7120271106210161,0.287132861990417
gotham,random,all,xgb_full__val_observed_f1,xgboost,full,0.9999819538074458,0.7527209345119772,0.24726101929546862
gotham,random,all,xgb_full,xgboost,full,0.9999727733163304,0.7527209247136134,0.24725184860271698
gotham,random,all,cat_full__val_observed_f1,catboost,full,0.9999718230398255,0.7533541140931598,0.24661770894666568
gotham,device,all,iforest_env_sensitive,sklearn_anomaly,env_sensitive,0.9599913353403787,0.731000198786949,0.22899113655342973
gotham,random,all,iforest_env_sensitive__val_robust_minimax,sklearn_anomaly,env_sensitive,0.9859488958504423,0.764859194146167,0.22108970170427533
gotham,time,all,cat_full__val_observed_f1,catboost,full,0.9972141258720064,0.8060145145939984,0.191199611278008
gotham,time,all,cat_full,catboost,full,0.9951145067989544,0.8073182597275064,0.18779624707144804
gotham,random,all,iforest_env_sensitive,sklearn_anomaly,env_sensitive,0.975810958642569,0.7925185510022309,0.18329240764033805
gotham,random,all,cat_full,catboost,full,0.9999357347841021,0.8314302572269356,0.1685054775571665
gotham,device,all,lr_full__val_observed_f1,sklearn_linear,full,0.9769447632726954,0.8088549433877007,0.16808981988499472
gotham,device,all,iforest_env_sensitive__val_observed_f1,sklearn_anomaly,env_sensitive,0.7487127566216292,0.5815237880366899,0.16718896858493926
gotham,device,all,rf_full,sklearn_tree,full,0.9967750387242685,0.836887015883554,0.15988802284071457
gotham,random,all,pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod,env_sensitive,0.4840000879411617,0.32535537443862994,0.1586447135025318
gotham,device,all,lr_full__val_robust_minimax,sklearn_linear,full,0.9931731267954248,0.838896269754664,0.15427685704076077
gotham,device,all,rf_full__val_robust_minimax,sklearn_tree,full,0.9594253147945959,0.8089903968658427,0.1504349179287532
gotham,device,all,rf_full__val_observed_f1,sklearn_tree,full,0.7567907340143462,0.6210558037399171,0.13573493027442907
gotham,device,all,lr_full__oracle_env_upper_bound,sklearn_linear,full,0.9931731267954248,0.8600477119549831,0.1331254148404417
gotham,random,all,lr_full,sklearn_linear,full,0.9999148361450597,0.8754155773089317,0.124499258836128
gotham,random,all,pyod_ecod_env_sensitive__val_observed_f1,pyod_ecod,env_sensitive,0.424435089429796,0.30187839800615573,0.12255669142364028
gotham,device,all,lr_full,sklearn_linear,full,0.9271407988394601,0.8055684535372584,0.12157234530220173
gotham,random,all,lr_full__val_observed_f1,sklearn_linear,full,0.99988318870153,0.9000244386940861,0.09985875000744393
gotham,random,all,rf_full__val_observed_f1,sklearn_tree,full,0.999999366804872,0.9062624767000602,0.09373689010481179
gotham,device,all,xgb_full__val_robust_minimax,xgboost,full,0.9939341784643192,0.9034299524567774,0.09050422600754182
gotham,random,all,pyod_copod_env_sensitive__val_observed_f1,pyod_copod,env_sensitive,0.11147972039196109,0.025707050545619652,0.08577266984634144
gotham,random,all,lr_full__val_robust_minimax,sklearn_linear,full,0.99983286379032,0.9150026813402038,0.0848301824501162
gotham,time,all,iforest_env_sensitive__val_observed_f1,sklearn_anomaly,env_sensitive,0.3836645996412973,0.2999708300099996,0.08369376963129771
gotham,time,all,iforest_env_sensitive__oracle_env_upper_bound,sklearn_anomaly,env_sensitive,0.9821887270463838,0.8985865335046764,0.08360219354170739
gotham,random,all,lr_full__oracle_env_upper_bound,sklearn_linear,full,0.999929086456273,0.9176369979483954,0.08229208850787761
gotham,time,all,cat_full__val_robust_minimax,catboost,full,0.9943573257174231,0.9154567655629308,0.07890056015449232
gotham,time,all,cat_full__oracle_env_upper_bound,catboost,full,0.9998790735897353,0.9217070313126936,0.07817204227704166
gotham,device,all,cat_full__oracle_env_upper_bound,catboost,full,0.999882585705123,0.9316016289972561,0.06828095670786694
gotham,device,all,cat_full__val_robust_minimax,catboost,full,0.9954891696810971,0.9280393250279015,0.06744984465319559
gotham,time,all,lr_full,sklearn_linear,full,0.9461972874983858,0.880739262025887,0.0654580254724988
gotham,time,all,lr_full__val_observed_f1,sklearn_linear,full,0.9462007605310054,0.8809849790977599,0.06521578143324558
gotham,random,all,xgb_full__oracle_env_upper_bound,xgboost,full,0.9999908187433139,0.9468239641238629,0.05316685461945092
gotham,time,all,lr_full__val_robust_minimax,sklearn_linear,full,0.9462042335407329,0.8933506370591314,0.052853596481601484
gotham,random,all,xgb_full__val_robust_minimax,xgboost,full,0.9995610716434243,0.9468239641238629,0.0527371075195614
gotham,device,all,iforest_env_sensitive__oracle_env_upper_bound,sklearn_anomaly,env_sensitive,0.9862164603777551,0.9375571193476189,0.04865934103013625
gotham,time,all,lr_full__oracle_env_upper_bound,sklearn_linear,full,0.9462249360434128,0.9000844623244727,0.046140473718940145
gotham,device,all,iforest_env_sensitive__val_robust_minimax,sklearn_anomaly,env_sensitive,0.9228576507803314,0.8800696951499133,0.04278795563041815
gotham,time,all,pyod_copod_env_sensitive__val_observed_f1,pyod_copod,env_sensitive,0.7146000053528893,0.6758267632387263,0.038773242114163
gotham,device,all,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,0.4559332732520168,0.4197530721216792,0.0361802011303376
gotham,random,all,pyod_copod_env_sensitive__val_robust_minimax,pyod_copod,env_sensitive,0.5715636462528674,0.5398702348917925,0.03169341136107484
gotham,random,all,iforest_env_sensitive__oracle_env_upper_bound,sklearn_anomaly,env_sensitive,0.987915264679399,0.9584091276655204,0.02950613701387861
gotham,time,all,pyod_ecod_env_sensitive__val_observed_f1,pyod_ecod,env_sensitive,0.8403765706145276,0.8126912046331617,0.02768536598136595
gotham,device,all,pyod_ecod_env_sensitive__val_observed_f1,pyod_ecod,env_sensitive,0.8483729121674605,0.8223520827118118,0.026020829455648653
gotham,device,all,pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod,env_sensitive,0.8483729121674605,0.8223520827118118,0.026020829455648653
gotham,device,all,pyod_ecod_env_sensitive__oracle_env_upper_bound,pyod_ecod,env_sensitive,0.8483729121674605,0.8223520827118118,0.026020829455648653
gotham,random,all,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,0.5948322070238289,0.5689321492217836,0.025900057802045295
gotham,time,all,rf_full__val_observed_f1,sklearn_tree,full,0.728508688948913,0.7029793797161056,0.025529309232807385
gotham,time,all,pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod,env_sensitive,0.8815308942149129,0.8620619178775463,0.01946897633736666
gotham,time,all,pyod_ecod_env_sensitive__oracle_env_upper_bound,pyod_ecod,env_sensitive,0.8815308942149129,0.8620619178775463,0.01946897633736666
gotham,time,all,xgb_full__val_observed_f1,xgboost,full,0.9154079477960368,0.8988135884558052,0.01659435934023168
gotham,time,all,rf_full__val_robust_minimax,sklearn_tree,full,0.9629304231345047,0.9472319495219523,0.01569847361255239
gotham,random,all,pyod_copod_env_sensitive__oracle_env_upper_bound,pyod_copod,env_sensitive,0.8601251585608686,0.844696202819763,0.015428955741105588
gotham,time,all,lgbm_full,lightgbm,full,0.9045533042170831,0.8930150904963989,0.011538213720684198
gotham,time,all,lgbm_full__val_robust_minimax,lightgbm,full,0.9045533042170831,0.8937438727783563,0.010809431438726813
gotham,time,all,lgbm_full__oracle_env_upper_bound,lightgbm,full,0.9152564376367209,0.9047035241164485,0.010552913520272433
gotham,device,all,pyod_copod_env_sensitive,pyod_copod,env_sensitive,0.24924834263168996,0.23877529220300928,0.010473050428680686
gotham,random,all,rf_full,sklearn_tree,full,0.9999968340323789,0.9896928980024232,0.010303936029955718
