dataset,split,fold,environment_id,ranking_reversal_score,static_top_detector,environment_top_detector
gotham,random,all,congested_link,0.4328957758553681,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
gotham,random,all,delayed_collector,0.5676767676767677,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
gotham,random,all,high_background,0.6461069980640982,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
gotham,random,all,low_sampling,0.29292929292929293,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
gotham,random,all,observed,0.0,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
gotham,time,all,congested_link,0.13705183511479557,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
gotham,time,all,delayed_collector,0.4160729430184924,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
gotham,time,all,high_background,0.2540634998651792,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
gotham,time,all,low_sampling,0.2334348718592465,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
gotham,time,all,observed,0.0,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
gotham,device,all,congested_link,0.23439059179469213,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
gotham,device,all,delayed_collector,0.43003034617164615,rf_full__oracle_env_upper_bound,rf_full
gotham,device,all,high_background,0.6519957235430418,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
gotham,device,all,low_sampling,0.36949813441915824,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
gotham,device,all,observed,0.0,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound


