dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,threshold_mode,threshold,env_thresholds,validation_strategy,validation_group_col,validation_groups,validation_removed_group_rows,validation_min_f1,validation_mean_f1,fit_rows,validation_rows,train_rows
uwf,random,all,lr_full,lr_full,sklearn_linear,full,native_default,native,,{},attack_family_challenge,attack_family,Defense Evasion,216,,,61884,432,62316
uwf,random,all,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,single_validation_observed,0.157,{},attack_family_challenge,attack_family,Defense Evasion,216,0.9976905311778291,0.9976905311778291,61884,432,62316
uwf,random,all,lr_full__val_robust_minimax,lr_full,sklearn_linear,full,val_robust_minimax,single_validation_minimax,0.1864,{},attack_family_challenge,attack_family,Defense Evasion,216,0.8956743002544529,0.972723155888084,61884,432,62316
uwf,random,all,lr_full__oracle_env_upper_bound,lr_full,sklearn_linear,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.5196, ""delayed_collector"": 0.3432, ""high_background"": 0.598, ""low_sampling"": 0.08839999999999999, ""observed"": 0.3236}",attack_family_challenge,attack_family,Defense Evasion,216,0.7061442222819204,0.9383401758895056,61884,432,62316
uwf,random,all,rf_full,rf_full,sklearn_tree,full,native_default,native,,{},attack_family_challenge,attack_family,Defense Evasion,216,,,61884,432,62316
uwf,random,all,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,single_validation_observed,0.01,{},attack_family_challenge,attack_family,Defense Evasion,216,0.9976905311778291,0.9976905311778291,61884,432,62316
uwf,random,all,rf_full__val_robust_minimax,rf_full,sklearn_tree,full,val_robust_minimax,single_validation_minimax,0.402,{},attack_family_challenge,attack_family,Defense Evasion,216,0.9773755656108597,0.9927037406812026,61884,432,62316
uwf,random,all,rf_full__oracle_env_upper_bound,rf_full,sklearn_tree,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.4706, ""delayed_collector"": 0.1864, ""high_background"": 0.6372, ""low_sampling"": 0.3432, ""observed"": 0.7253999999999999}",attack_family_challenge,attack_family,Defense Evasion,216,0.9869997908012312,0.9954998408818228,61884,432,62316
uwf,random,all,gb_full,gb_full,sklearn_boosting,full,native_default,native,,{},attack_family_challenge,attack_family,Defense Evasion,216,,,61884,432,62316
uwf,random,all,gb_full__val_observed_f1,gb_full,sklearn_boosting,full,val_observed_f1,single_validation_observed,0.9703999999999999,{},attack_family_challenge,attack_family,Defense Evasion,216,1.0,1.0,61884,432,62316
uwf,random,all,gb_full__val_robust_minimax,gb_full,sklearn_boosting,full,val_robust_minimax,single_validation_minimax,0.6666,{},attack_family_challenge,attack_family,Defense Evasion,216,0.9976905311778291,0.997690531177829,61884,432,62316
uwf,random,all,gb_full__oracle_env_upper_bound,gb_full,sklearn_boosting,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.5784, ""delayed_collector"": 0.2256, ""high_background"": 0.6274, ""low_sampling"": 0.353, ""observed"": 0.2452}",attack_family_challenge,attack_family,Defense Evasion,216,0.9977374218517416,0.9982383227550858,61884,432,62316
uwf,random,all,xgb_full,xgb_full,xgboost,full,native_default,native,,{},attack_family_challenge,attack_family,Defense Evasion,216,,,61884,432,62316
uwf,random,all,xgb_full__val_observed_f1,xgb_full,xgboost,full,val_observed_f1,single_validation_observed,0.99,{},attack_family_challenge,attack_family,Defense Evasion,216,1.0,1.0,61884,432,62316
uwf,random,all,xgb_full__val_robust_minimax,xgb_full,xgboost,full,val_robust_minimax,single_validation_minimax,0.6567999999999999,{},attack_family_challenge,attack_family,Defense Evasion,216,0.993103448275862,0.9967731145974357,61884,432,62316
uwf,random,all,xgb_full__oracle_env_upper_bound,xgb_full,xgboost,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.4118, ""delayed_collector"": 0.01, ""high_background"": 0.9312, ""low_sampling"": 0.3236, ""observed"": 0.8331999999999999}",attack_family_challenge,attack_family,Defense Evasion,216,0.998124832574337,0.9984881517550527,61884,432,62316
uwf,random,all,lgbm_full,lgbm_full,lightgbm,full,native_default,native,,{},attack_family_challenge,attack_family,Defense Evasion,216,,,61884,432,62316
uwf,random,all,lgbm_full__val_observed_f1,lgbm_full,lightgbm,full,val_observed_f1,single_validation_observed,0.01,{},attack_family_challenge,attack_family,Defense Evasion,216,0.9976905311778291,0.9976905311778291,61884,432,62316
uwf,random,all,lgbm_full__val_robust_minimax,lgbm_full,lightgbm,full,val_robust_minimax,single_validation_minimax,0.3726,{},attack_family_challenge,attack_family,Defense Evasion,216,0.9908256880733946,0.9944805617745637,61884,432,62316
uwf,random,all,lgbm_full__oracle_env_upper_bound,lgbm_full,lightgbm,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.6176, ""delayed_collector"": 0.01, ""high_background"": 0.9116, ""low_sampling"": 0.4216, ""observed"": 0.745}",attack_family_challenge,attack_family,Defense Evasion,216,0.9918146626872728,0.9965170083630163,61884,432,62316
uwf,random,all,cat_full,cat_full,catboost,full,native_default,native,,{},attack_family_challenge,attack_family,Defense Evasion,216,,,61884,432,62316
uwf,random,all,cat_full__val_observed_f1,cat_full,catboost,full,val_observed_f1,single_validation_observed,0.01,{},attack_family_challenge,attack_family,Defense Evasion,216,0.9976905311778291,0.9976905311778291,61884,432,62316
uwf,random,all,cat_full__val_robust_minimax,cat_full,catboost,full,val_robust_minimax,single_validation_minimax,0.7156,{},attack_family_challenge,attack_family,Defense Evasion,216,0.9953917050691244,0.9972307659560882,61884,432,62316
uwf,random,all,cat_full__oracle_env_upper_bound,cat_full,catboost,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.5, ""delayed_collector"": 0.0688, ""high_background"": 0.8331999999999999, ""low_sampling"": 0.1276, ""observed"": 0.8528}",attack_family_challenge,attack_family,Defense Evasion,216,0.9981255020976524,0.9985003190554492,61884,432,62316
uwf,random,all,iforest_env_sensitive,iforest_env_sensitive,sklearn_anomaly,env_sensitive,native_default,native,,{},attack_family_challenge,attack_family,Defense Evasion,216,,,61884,432,62316
uwf,random,all,iforest_env_sensitive__val_observed_f1,iforest_env_sensitive,sklearn_anomaly,env_sensitive,val_observed_f1,single_validation_observed,0.4314,{},attack_family_challenge,attack_family,Defense Evasion,216,0.935064935064935,0.935064935064935,61884,432,62316
uwf,random,all,iforest_env_sensitive__val_robust_minimax,iforest_env_sensitive,sklearn_anomaly,env_sensitive,val_robust_minimax,single_validation_minimax,0.1766,{},attack_family_challenge,attack_family,Defense Evasion,216,0.7060755336617406,0.7518284490277607,61884,432,62316
uwf,random,all,iforest_env_sensitive__oracle_env_upper_bound,iforest_env_sensitive,sklearn_anomaly,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.7058, ""delayed_collector"": 0.647, ""high_background"": 0.7352, ""low_sampling"": 0.4216, ""observed"": 0.6567999999999999}",attack_family_challenge,attack_family,Defense Evasion,216,0.9448335709415484,0.9510266280572981,61884,432,62316
uwf,random,all,pyod_ecod_env_sensitive,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,native_default,native,,{},attack_family_challenge,attack_family,Defense Evasion,216,,,61884,432,62316
uwf,random,all,pyod_ecod_env_sensitive__val_observed_f1,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,val_observed_f1,single_validation_observed,0.1276,{},attack_family_challenge,attack_family,Defense Evasion,216,0.8709677419354839,0.8709677419354839,61884,432,62316
uwf,random,all,pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,val_robust_minimax,single_validation_minimax,0.0688,{},attack_family_challenge,attack_family,Defense Evasion,216,0.6666666666666666,0.7237105952425715,61884,432,62316
uwf,random,all,pyod_ecod_env_sensitive__oracle_env_upper_bound,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.1472, ""delayed_collector"": 0.1374, ""high_background"": 0.1668, ""low_sampling"": 0.11779999999999999, ""observed"": 0.1472}",attack_family_challenge,attack_family,Defense Evasion,216,0.8248308172826653,0.8557809940643765,61884,432,62316
uwf,random,all,pyod_copod_env_sensitive,pyod_copod_env_sensitive,pyod_copod,env_sensitive,native_default,native,,{},attack_family_challenge,attack_family,Defense Evasion,216,,,61884,432,62316
uwf,random,all,pyod_copod_env_sensitive__val_observed_f1,pyod_copod_env_sensitive,pyod_copod,env_sensitive,val_observed_f1,single_validation_observed,0.0982,{},attack_family_challenge,attack_family,Defense Evasion,216,0.8605577689243028,0.8605577689243028,61884,432,62316
uwf,random,all,pyod_copod_env_sensitive__val_robust_minimax,pyod_copod_env_sensitive,pyod_copod,env_sensitive,val_robust_minimax,single_validation_minimax,0.01,{},attack_family_challenge,attack_family,Defense Evasion,216,0.6656346749226006,0.6701953842155725,61884,432,62316
uwf,random,all,pyod_copod_env_sensitive__oracle_env_upper_bound,pyod_copod_env_sensitive,pyod_copod,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.1374, ""delayed_collector"": 0.1472, ""high_background"": 0.1766, ""low_sampling"": 0.1276, ""observed"": 0.157}",attack_family_challenge,attack_family,Defense Evasion,216,0.9032409858243633,0.9178018439708098,61884,432,62316
uwf,time,within_family_chronological,lr_full,lr_full,sklearn_linear,full,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,365,,,61587,730,62317
uwf,time,within_family_chronological,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,single_validation_observed,0.157,{},attack_family_challenge,attack_family,Initial Access,365,0.9972677595628415,0.9972677595628415,61587,730,62317
uwf,time,within_family_chronological,lr_full__val_robust_minimax,lr_full,sklearn_linear,full,val_robust_minimax,single_validation_minimax,0.07859999999999999,{},attack_family_challenge,attack_family,Initial Access,365,0.6407407407407407,0.8907790966725135,61587,730,62317
