detector,detector_family,feature_profile,observed_f1_mean,worst_intervention_f1_mean,hidden_drop_mean,hidden_drop_max
rf_full__val_observed_f1,sklearn_tree,full,0.95145983127571,0.6489541462697795,0.30250568500593045,0.5673076923076923
iforest_env_sensitive,sklearn_anomaly,env_sensitive,0.8592426577370615,0.6629973516522989,0.19624530608476268,0.28245614035087724
pyod_copod_env_sensitive__val_observed_f1,pyod_copod,env_sensitive,0.693703244777506,0.5012491233684119,0.19245412140909404,0.5158749328377705
iforest_env_sensitive__val_observed_f1,sklearn_anomaly,env_sensitive,0.7428478342718644,0.5546436078099576,0.18820422646190682,0.5857761286332716
lr_full,sklearn_linear,full,0.9000481126295835,0.7166166905691104,0.18343142206047314,0.5329839031877865
lr_full__val_observed_f1,sklearn_linear,full,0.8709924163433593,0.6926727427272839,0.17831967361607545,0.29146145946592217
rf_full,sklearn_tree,full,0.9084165078262177,0.7353290903098092,0.17308741751640871,0.6717948717948719
rf_full__val_robust_minimax,sklearn_tree,full,0.9122812799497148,0.7615580810848657,0.1507231988648491,0.6717948717948719
lr_full__oracle_env_upper_bound,sklearn_linear,full,0.9534221682680197,0.8032041587227395,0.15021800954528022,0.29201108863744885
pyod_ecod_env_sensitive__val_observed_f1,pyod_ecod,env_sensitive,0.6932470665503633,0.5506649233275784,0.14258214322278487,0.3403508771929824
lr_full__val_robust_minimax,sklearn_linear,full,0.7878047745812227,0.6479393141975265,0.1398654603836962,0.29179465052045195
pyod_ecod_env_sensitive__oracle_env_upper_bound,pyod_ecod,env_sensitive,0.8620973280406004,0.7391083718195908,0.1229889562210095,0.19509060670856826
pyod_copod_env_sensitive,pyod_copod,env_sensitive,0.554609541964386,0.43435227325625475,0.12025726870813125,0.4388028895768834
pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod,env_sensitive,0.6574169951271834,0.5453802174505842,0.11203677767659925,0.3089115126929199
lgbm_full__val_observed_f1,lightgbm,full,0.8982866245301071,0.7939422372921757,0.10434438723793153,0.6847545219638242
pyod_copod_env_sensitive__oracle_env_upper_bound,pyod_copod,env_sensitive,0.8755524407591443,0.7742782449557064,0.10127419580343795,0.19214854111405832
iforest_env_sensitive__oracle_env_upper_bound,sklearn_anomaly,env_sensitive,0.9323001503770652,0.8324341780431823,0.09986597233388281,0.20015673880505935
cat_full__val_observed_f1,catboost,full,0.9572772794792155,0.8737492665671327,0.08352801291208273,0.6675191815856778
lgbm_full__val_robust_minimax,lightgbm,full,0.8999615138500701,0.8167731217887111,0.08318839206135895,0.7157894736842105
cat_full__val_robust_minimax,catboost,full,0.9124498934212854,0.8448332113449644,0.06761668207632113,0.5598086124401913
iforest_env_sensitive__val_robust_minimax,sklearn_anomaly,env_sensitive,0.645386719459327,0.5845637427629347,0.06082297669639242,0.11266606968648929
xgb_full__val_robust_minimax,xgboost,full,0.9076748901513133,0.8565511709792712,0.051123719172042094,0.32251521298174446
pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,0.5155639850885856,0.4652517555061232,0.050312229582462356,0.4054487179487179
xgb_full__val_observed_f1,xgboost,full,0.9090561001313988,0.8616662825688624,0.04738981756253641,0.32251521298174446
rf_full__oracle_env_upper_bound,sklearn_tree,full,0.9632594093744646,0.9172788752175881,0.04598053415687654,0.3682188482260242
pyod_copod_env_sensitive__val_robust_minimax,pyod_copod,env_sensitive,0.5895070352504534,0.5466148165411175,0.042892218709335975,0.12742181815489617
lgbm_full,lightgbm,full,0.9017577466232714,0.8635100171794473,0.038247729443824166,0.09212730318257956
gb_full__val_observed_f1,sklearn_boosting,full,0.9000858012996661,0.8649578598373087,0.03512794146235736,0.10163229281424635
gb_full__val_robust_minimax,sklearn_boosting,full,0.8997766324195242,0.8710238288290606,0.02875280359046357,0.10163229281424635
cat_full,catboost,full,0.9065954409190953,0.8952990689359727,0.011296371983122682,0.08920680099713445
xgb_full,xgboost,full,0.9014872190035448,0.8914857479448383,0.010001471058706465,0.04102159488791066
lgbm_full__oracle_env_upper_bound,lightgbm,full,0.9035037132730043,0.895197266312838,0.00830644696016621,0.04102159488791066
gb_full,sklearn_boosting,full,0.9013735952037093,0.8940532734966957,0.00732032170701363,0.04102159488791066
gb_full__oracle_env_upper_bound,sklearn_boosting,full,0.9035884888563744,0.8989879148267075,0.0046005740296670575,0.04102159488791066
cat_full__oracle_env_upper_bound,catboost,full,0.9615054981015728,0.9584047708786347,0.0031007272229382154,0.025739938984492894
xgb_full__oracle_env_upper_bound,xgboost,full,0.9130100554572989,0.9124474629970333,0.0005625924602656873,0.0015313935681470214


