dataset,split,fold,detector,detector_family,feature_profile,observed_f1,worst_intervention_f1,worst_hidden_drop
uwf,heldout_family,defense_evasion,lgbm_full__val_robust_minimax,lightgbm,full,1.0,0.28421052631578947,0.7157894736842105
uwf,heldout_family,defense_evasion,lgbm_full__val_observed_f1,lightgbm,full,1.0,0.3152454780361757,0.6847545219638242
uwf,heldout_family,defense_evasion,rf_full__val_robust_minimax,sklearn_tree,full,1.0,0.3282051282051282,0.6717948717948719
uwf,heldout_family,persistence,rf_full,sklearn_tree,full,1.0,0.3282051282051282,0.6717948717948719
uwf,heldout_family,privilege_escalation,rf_full,sklearn_tree,full,0.998468606431853,0.3282051282051282,0.6702634782267247
uwf,heldout_family,defense_evasion,cat_full__val_observed_f1,catboost,full,1.0,0.33248081841432225,0.6675191815856778
uwf,heldout_family,persistence,iforest_env_sensitive__val_observed_f1,sklearn_anomaly,env_sensitive,0.8870748299319728,0.3012987012987013,0.5857761286332716
uwf,heldout_family,defense_evasion,rf_full__val_observed_f1,sklearn_tree,full,1.0,0.4326923076923077,0.5673076923076923
uwf,heldout_family,defense_evasion,cat_full__val_robust_minimax,catboost,full,1.0,0.44019138755980863,0.5598086124401913
uwf,heldout_family,privilege_escalation,iforest_env_sensitive__val_observed_f1,sklearn_anomaly,env_sensitive,0.8728246318607764,0.31876606683804626,0.5540585650227301
uwf,random,all,lr_full,sklearn_linear,full,0.9981553109193693,0.4651714077315828,0.5329839031877865
uwf,heldout_family,persistence,pyod_copod_env_sensitive__val_observed_f1,pyod_copod,env_sensitive,0.8211586901763224,0.30528375733855184,0.5158749328377705
uwf,heldout_family,privilege_escalation,pyod_copod_env_sensitive__val_observed_f1,pyod_copod,env_sensitive,0.806930693069307,0.30947775628626695,0.49745293678304003
uwf,heldout_family,exfiltration,rf_full__val_observed_f1,sklearn_tree,full,1.0,0.5348837209302325,0.4651162790697675
uwf,heldout_family,exfiltration,pyod_copod_env_sensitive,pyod_copod,env_sensitive,0.9019607843137255,0.4631578947368421,0.4388028895768834
uwf,heldout_family,exfiltration,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,0.8846153846153846,0.4791666666666667,0.4054487179487179
uwf,heldout_family,reconnaissance,rf_full__oracle_env_upper_bound,sklearn_tree,full,0.635916647155233,0.2676977989292088,0.3682188482260242
uwf,heldout_family,reconnaissance,rf_full__val_observed_f1,sklearn_tree,full,0.6061332055582176,0.2380375529981829,0.3680956525600347
uwf,heldout_family,exfiltration,pyod_ecod_env_sensitive__val_observed_f1,pyod_ecod,env_sensitive,0.8070175438596491,0.4666666666666667,0.3403508771929824
uwf,random,all,rf_full__val_observed_f1,sklearn_tree,full,0.9976822963095026,0.6722460257077644,0.3254362706017382
uwf,heldout_family,defense_evasion,xgb_full__val_observed_f1,xgboost,full,1.0,0.6774847870182555,0.32251521298174446
uwf,heldout_family,defense_evasion,xgb_full__val_robust_minimax,xgboost,full,1.0,0.6774847870182555,0.32251521298174446
uwf,heldout_family,persistence,rf_full__val_observed_f1,sklearn_tree,full,0.998468606431853,0.6805845511482255,0.3178840552836275
uwf,heldout_family,persistence,rf_full__val_robust_minimax,sklearn_tree,full,0.998468606431853,0.6805845511482255,0.3178840552836275
uwf,heldout_family,privilege_escalation,rf_full__val_observed_f1,sklearn_tree,full,0.998468606431853,0.6812957157784744,0.3171728906533786
uwf,heldout_family,privilege_escalation,rf_full__val_robust_minimax,sklearn_tree,full,0.998468606431853,0.6812957157784744,0.3171728906533786
uwf,heldout_family,reconnaissance,pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod,env_sensitive,0.3116531165311653,0.0027416038382453737,0.3089115126929199
uwf,time,within_family_chronological,lr_full,sklearn_linear,full,0.9984821880301181,0.7063662924803936,0.2921158955497245
uwf,random,all,lr_full__oracle_env_upper_bound,sklearn_linear,full,0.9981553109193693,0.7061442222819204,0.29201108863744885
