dataset,split,fold,environment_id,ranking_reversal_score,static_top_detector,environment_top_detector
uwf,random,all,congested_link,0.2983291335677003,lgbm_full__oracle_env_upper_bound,cat_full
uwf,random,all,delayed_collector,0.16625179213567975,lgbm_full__oracle_env_upper_bound,gb_full
uwf,random,all,high_background,0.36833711117092294,lgbm_full__oracle_env_upper_bound,cat_full__oracle_env_upper_bound
uwf,random,all,low_sampling,0.3672488028899976,lgbm_full__oracle_env_upper_bound,lgbm_full__oracle_env_upper_bound
uwf,random,all,observed,0.0,lgbm_full__oracle_env_upper_bound,lgbm_full__oracle_env_upper_bound
uwf,time,within_family_chronological,congested_link,0.2519235052674206,rf_full__oracle_env_upper_bound,gb_full__oracle_env_upper_bound
uwf,time,within_family_chronological,delayed_collector,0.09143777871170822,rf_full__oracle_env_upper_bound,rf_full
uwf,time,within_family_chronological,high_background,0.300672421566866,rf_full__oracle_env_upper_bound,gb_full__oracle_env_upper_bound
uwf,time,within_family_chronological,low_sampling,0.3735413292159919,rf_full__oracle_env_upper_bound,lgbm_full
uwf,time,within_family_chronological,observed,1.1102230246251565e-16,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
uwf,source_ip,within_family_source_ip,congested_link,0.40415335463258784,rf_full__oracle_env_upper_bound,cat_full__oracle_env_upper_bound
uwf,source_ip,within_family_source_ip,delayed_collector,0.04472843450479236,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
uwf,source_ip,within_family_source_ip,high_background,0.44612911331368965,rf_full__oracle_env_upper_bound,cat_full__oracle_env_upper_bound
uwf,source_ip,within_family_source_ip,low_sampling,0.3413267280105964,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
uwf,source_ip,within_family_source_ip,observed,0.0,rf_full__oracle_env_upper_bound,rf_full__oracle_env_upper_bound
uwf,heldout_family,credential_access,congested_link,0.13831369639793634,xgb_full__oracle_env_upper_bound,xgb_full__oracle_env_upper_bound
uwf,heldout_family,credential_access,delayed_collector,0.08292252285663537,xgb_full__oracle_env_upper_bound,xgb_full__oracle_env_upper_bound
uwf,heldout_family,credential_access,high_background,0.15421196768210732,xgb_full__oracle_env_upper_bound,cat_full__oracle_env_upper_bound
uwf,heldout_family,credential_access,low_sampling,0.18022224285377253,xgb_full__oracle_env_upper_bound,xgb_full__oracle_env_upper_bound
uwf,heldout_family,credential_access,observed,0.0,xgb_full__oracle_env_upper_bound,xgb_full__oracle_env_upper_bound
uwf,heldout_family,defense_evasion,congested_link,0.2240172159638909,lr_full,gb_full
uwf,heldout_family,defense_evasion,delayed_collector,0.06605711960982652,lr_full,lr_full
uwf,heldout_family,defense_evasion,high_background,0.26110232555532564,lr_full,gb_full
uwf,heldout_family,defense_evasion,low_sampling,0.3744620900872824,lr_full,rf_full__oracle_env_upper_bound
uwf,heldout_family,defense_evasion,observed,0.0,lr_full,lr_full
uwf,heldout_family,exfiltration,congested_link,0.1529130702215683,lr_full,lr_full__val_observed_f1
