dataset,split,fold,method,observed_f1,worst_intervention_f1,worst_hidden_drop
gotham,device,all,intervendb_observed_selector,0.9594253147945959,0.8089903968658427,0.1504349179287532
gotham,device,all,intervendb_minimax_selector,0.9594253147945959,0.8089903968658427,0.1504349179287532
gotham,device,all,intervendb_shift_guard_selector,0.9594253147945959,0.8089903968658427,0.1504349179287532
gotham,device,all,intervendb_adaptive_openworld_selector,0.9107563453109605,0.8483311101319493,0.06242523517901122
gotham,device,all,intervendb_gated_conformal_tail_guard,0.9107559987060682,0.8483311101319493,0.062424888574118875
gotham,random,all,intervendb_gated_conformal_tail_guard,0.947445084256982,0.900244600240211,0.047200484016771016
gotham,time,all,intervendb_observed_selector,0.9629304231345047,0.9472319495219523,0.01569847361255239
gotham,time,all,intervendb_minimax_selector,0.9629304231345047,0.9472319495219523,0.01569847361255239
gotham,time,all,intervendb_shift_guard_selector,0.9629304231345047,0.9472319495219523,0.01569847361255239
gotham,time,all,intervendb_adaptive_openworld_selector,0.9629304231345047,0.9472319495219523,0.01569847361255239
gotham,device,all,intervendb_conformal_tail_guard,0.999573546518306,0.9962761579608416,0.00329738855746442
gotham,random,all,intervendb_conformal_tail_guard,0.9994253877367112,0.9961815798047298,0.003243807931981424
gotham,time,all,intervendb_tail_guard_ensemble,0.9606592750097276,0.9594039983998288,0.00125527660989877
gotham,time,all,intervendb_conformal_tail_guard,0.9624816769492329,0.9612996855599452,0.001181991389287762
gotham,device,all,intervendb_tail_guard_ensemble,0.9771301180813013,0.9761420829086175,0.0009880351726838654
gotham,random,all,intervendb_tail_guard_ensemble,0.9876398911732582,0.9875778223012639,6.20688719943363e-05
gotham,random,all,intervendb_counterfactual_ensemble,0.9999901855469832,0.9999879694068348,2.2161401483922205e-06
gotham,random,all,intervendb_env_calibrated_ensemble,0.9999879694068348,0.9999860698659542,1.8995408805899672e-06
gotham,device,all,intervendb_env_calibrated_ensemble,0.9999966571199584,0.9999954035533876,1.2535665708801602e-06
gotham,device,all,intervendb_counterfactual_ensemble,0.9999966571199584,0.9999962392615247,4.178584337433122e-07
gotham,time,all,intervendb_counterfactual_ensemble,0.9629781385780259,0.9629777981043535,3.4047367247769245e-07
gotham,device,all,intervendb_stability_selector,0.9999962392709534,0.9999962392709534,0.0
gotham,device,all,intervendb_pareto_selector,0.9999962392709534,0.9999962392709534,0.0
gotham,device,all,intervendb_openworld_selector,0.9999962392709534,0.9999962392709534,0.0
gotham,device,all,intervendb_coverage_openworld_selector,0.9999962392709534,0.9999962392709534,0.0
gotham,device,all,intervendb_coverage_lift_openworld_selector,0.9999962392709534,0.9999962392709534,0.0
gotham,random,all,intervendb_observed_selector,0.9999863864555998,0.9999863864555998,0.0
gotham,random,all,intervendb_minimax_selector,0.9999863864555998,0.9999863864555998,0.0
gotham,random,all,intervendb_stability_selector,0.9999863864555998,0.9999863864555998,0.0
gotham,random,all,intervendb_shift_guard_selector,0.9999863864555998,0.9999863864555998,0.0
gotham,random,all,intervendb_pareto_selector,0.9999863864555998,0.9999863864555998,0.0
gotham,random,all,intervendb_openworld_selector,0.9999863864555998,0.9999863864555998,0.0
gotham,random,all,intervendb_coverage_openworld_selector,0.9999863864555998,0.9999863864555998,0.0
gotham,random,all,intervendb_coverage_lift_openworld_selector,0.9999863864555998,0.9999863864555998,0.0
gotham,random,all,intervendb_adaptive_openworld_selector,0.9999863864555998,0.9999863864555998,0.0
gotham,time,all,intervendb_env_calibrated_ensemble,0.9629781385780259,0.9629781385780259,0.0
gotham,time,all,intervendb_stability_selector,0.9629777981043535,0.9629777981043535,0.0
gotham,time,all,intervendb_pareto_selector,0.9629777981043535,0.9629777981043535,0.0
gotham,time,all,intervendb_openworld_selector,0.9629777981043535,0.9629777981043535,0.0
gotham,time,all,intervendb_coverage_openworld_selector,0.9629777981043535,0.9629777981043535,0.0
gotham,time,all,intervendb_coverage_lift_openworld_selector,0.9629777981043535,0.9629777981043535,0.0
gotham,time,all,intervendb_gated_conformal_tail_guard,0.9002446571038345,0.9002446571038345,0.0


