dataset,split,fold,environment_id,ranking_reversal_score,static_top_method,environment_top_method
gotham,device,all,congested_link,2.220446049250313e-16,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
gotham,device,all,delayed_collector,0.4285714285714286,intervendb_counterfactual_ensemble,intervendb_stability_selector
gotham,device,all,high_background,0.1558441558441559,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
gotham,device,all,low_sampling,0.006514727329596237,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
gotham,device,all,observed,2.220446049250313e-16,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
gotham,random,all,congested_link,0.009132611386275524,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
gotham,random,all,delayed_collector,0.32727272727272727,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
gotham,random,all,high_background,0.0,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
gotham,random,all,low_sampling,0.009132611386275524,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
gotham,random,all,observed,0.0,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
gotham,time,all,congested_link,0.1524507280754892,intervendb_counterfactual_ensemble,intervendb_env_calibrated_ensemble
gotham,time,all,delayed_collector,1.1621621621621623,intervendb_counterfactual_ensemble,intervendb_observed_selector
gotham,time,all,high_background,0.2636047309508349,intervendb_counterfactual_ensemble,intervendb_env_calibrated_ensemble
gotham,time,all,low_sampling,0.027027027027026973,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
gotham,time,all,observed,0.0,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble


