dataset,split,fold,method,observed_f1,worst_intervention_f1,worst_hidden_drop
uwf,heldout_family,defense_evasion,intervendb_observed_selector,1.0,0.3282051282051282,0.6717948717948719
uwf,heldout_family,initial_access,intervendb_counterfactual_ensemble,1.0,0.7235494880546075,0.2764505119453925
uwf,heldout_family,initial_access,intervendb_env_calibrated_ensemble,0.9910071942446044,0.7235494880546075,0.26745770618999687
uwf,heldout_family,privilege_escalation,intervendb_gated_conformal_tail_guard,0.854521625163827,0.7018299246501615,0.15269170051366554
uwf,random,all,intervendb_gated_conformal_tail_guard,0.8586992660034269,0.7099420645324989,0.14875720147092808
uwf,heldout_family,exfiltration,intervendb_tail_guard_ensemble,0.9019607843137255,0.7666666666666667,0.1352941176470588
uwf,heldout_family,persistence,intervendb_tail_guard_ensemble,0.9702380952380953,0.854521625163827,0.11571647007426833
uwf,heldout_family,reconnaissance,intervendb_tail_guard_ensemble,0.5115185707569346,0.40197422539073213,0.1095443453662025
uwf,random,all,intervendb_tail_guard_ensemble,0.9540001137203616,0.8621114821474442,0.09188863157291749
uwf,time,within_family_chronological,intervendb_tail_guard_ensemble,0.94582252790619,0.8668991347023116,0.07892339320387842
uwf,heldout_family,privilege_escalation,intervendb_tail_guard_ensemble,0.9560117302052786,0.8787061994609164,0.0773055307443622
uwf,heldout_family,defense_evasion,intervendb_tail_guard_ensemble,0.9394812680115274,0.8704939919893191,0.06898727602220833
uwf,source_ip,within_family_source_ip,intervendb_tail_guard_ensemble,0.9793570866047778,0.9159212082004149,0.06343587840436293
uwf,heldout_family,credential_access,intervendb_tail_guard_ensemble,0.9818501963971284,0.938442617645155,0.04340757875197343
uwf,heldout_family,initial_access,intervendb_tail_guard_ensemble,0.9548936170212766,0.9129373474369407,0.04195626958433596
uwf,heldout_family,reconnaissance,intervendb_counterfactual_ensemble,0.24969915764139594,0.23910411622276032,0.010595041418635626
uwf,time,within_family_chronological,intervendb_env_calibrated_ensemble,0.995906502135738,0.9920198616776025,0.0038866404581354708
uwf,heldout_family,reconnaissance,intervendb_gated_conformal_tail_guard,0.9646824738849279,0.9611762762266645,0.0035061976582634324
uwf,heldout_family,reconnaissance,intervendb_coverage_openworld_selector,0.9646824738849279,0.9611762762266645,0.0035061976582634324
uwf,heldout_family,reconnaissance,intervendb_coverage_lift_openworld_selector,0.9646824738849279,0.9611762762266645,0.0035061976582634324
uwf,heldout_family,reconnaissance,intervendb_adaptive_openworld_selector,0.9646824738849279,0.9611762762266645,0.0035061976582634324
uwf,heldout_family,defense_evasion,intervendb_conformal_tail_guard,0.9923896499238966,0.9893778452200305,0.0030118047038660833
