dataset,split,fold,environment_id,ranking_reversal_score,static_top_method,environment_top_method
uwf,heldout_family,credential_access,congested_link,0.031746031746031744,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
uwf,heldout_family,credential_access,delayed_collector,0.031746031746031744,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
uwf,heldout_family,credential_access,high_background,0.07197030257451609,intervendb_counterfactual_ensemble,intervendb_observed_selector
uwf,heldout_family,credential_access,low_sampling,0.00796825447620686,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
uwf,heldout_family,credential_access,observed,1.1102230246251565e-16,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
uwf,heldout_family,defense_evasion,congested_link,0.2627902192255144,intervendb_observed_selector,intervendb_minimax_selector
uwf,heldout_family,defense_evasion,delayed_collector,0.0,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,defense_evasion,high_background,0.21364290050721535,intervendb_observed_selector,intervendb_minimax_selector
uwf,heldout_family,defense_evasion,low_sampling,0.5,intervendb_observed_selector,intervendb_minimax_selector
uwf,heldout_family,defense_evasion,observed,0.0,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,exfiltration,congested_link,0.11808289631180324,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,exfiltration,delayed_collector,1.1102230246251565e-16,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,exfiltration,high_background,0.11808289631180324,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,exfiltration,low_sampling,0.2188734224475971,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,exfiltration,observed,1.1102230246251565e-16,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,initial_access,congested_link,0.0,intervendb_minimax_selector,intervendb_minimax_selector
uwf,heldout_family,initial_access,delayed_collector,0.0,intervendb_minimax_selector,intervendb_minimax_selector
uwf,heldout_family,initial_access,high_background,0.009132611386275524,intervendb_minimax_selector,intervendb_minimax_selector
uwf,heldout_family,initial_access,low_sampling,0.4495181174368197,intervendb_minimax_selector,intervendb_minimax_selector
uwf,heldout_family,initial_access,observed,0.0,intervendb_minimax_selector,intervendb_minimax_selector
uwf,heldout_family,persistence,congested_link,0.0,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,persistence,delayed_collector,0.0,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,persistence,high_background,0.0,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,persistence,low_sampling,0.0703303197986318,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,persistence,observed,0.0,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,privilege_escalation,congested_link,0.16666666666666663,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,privilege_escalation,delayed_collector,0.16666666666666663,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,privilege_escalation,high_background,0.0,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,privilege_escalation,low_sampling,0.0,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,privilege_escalation,observed,0.0,intervendb_observed_selector,intervendb_observed_selector
uwf,heldout_family,reconnaissance,congested_link,0.208612613280188,intervendb_gated_conformal_tail_guard,intervendb_gated_conformal_tail_guard
uwf,heldout_family,reconnaissance,delayed_collector,0.0,intervendb_gated_conformal_tail_guard,intervendb_gated_conformal_tail_guard
uwf,heldout_family,reconnaissance,high_background,0.0,intervendb_gated_conformal_tail_guard,intervendb_gated_conformal_tail_guard
uwf,heldout_family,reconnaissance,low_sampling,0.3228295763925483,intervendb_gated_conformal_tail_guard,intervendb_gated_conformal_tail_guard
uwf,heldout_family,reconnaissance,observed,0.0,intervendb_gated_conformal_tail_guard,intervendb_gated_conformal_tail_guard
uwf,random,all,congested_link,0.036363636363636376,intervendb_counterfactual_ensemble,intervendb_env_calibrated_ensemble
uwf,random,all,delayed_collector,0.0,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
uwf,random,all,high_background,0.009132611386275524,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
uwf,random,all,low_sampling,0.0,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
uwf,random,all,observed,0.0,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
uwf,source_ip,within_family_source_ip,congested_link,0.0,intervendb_env_calibrated_ensemble,intervendb_env_calibrated_ensemble
uwf,source_ip,within_family_source_ip,delayed_collector,0.0,intervendb_env_calibrated_ensemble,intervendb_env_calibrated_ensemble
uwf,source_ip,within_family_source_ip,high_background,0.009132611386275524,intervendb_env_calibrated_ensemble,intervendb_counterfactual_ensemble
uwf,source_ip,within_family_source_ip,low_sampling,0.036363636363636376,intervendb_env_calibrated_ensemble,intervendb_env_calibrated_ensemble
uwf,source_ip,within_family_source_ip,observed,0.0,intervendb_env_calibrated_ensemble,intervendb_env_calibrated_ensemble
uwf,time,within_family_chronological,congested_link,0.036363636363636376,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
uwf,time,within_family_chronological,delayed_collector,0.32727272727272727,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
uwf,time,within_family_chronological,high_background,0.33942174092418365,intervendb_counterfactual_ensemble,intervendb_observed_selector
uwf,time,within_family_chronological,low_sampling,0.07272727272727264,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble
uwf,time,within_family_chronological,observed,0.0,intervendb_counterfactual_ensemble,intervendb_counterfactual_ensemble


