split,fold,fit_rows,validation_rows,test_rows,fit_positive_rate,validation_positive_rate,test_positive_rate,validation_strategy,validation_group_col,validation_groups,validation_removed_group_rows,observed_selector_candidate,minimax_selector_candidate,stability_selector_candidate,shift_guard_selector_candidate,pareto_selector_candidate
random,all,61884,432,33555,0.5003070260487363,0.5,0.5003129190880644,attack_family_challenge,attack_family,Defense Evasion,216,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf
time,within_family_chronological,61587,730,33554,0.5003166252618247,0.5,0.5002980270608571,attack_family_challenge,attack_family,Initial Access,365,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf
source_ip,within_family_source_ip,56843,646,38382,0.47604806220642826,0.5,0.5362409462769007,attack_family_challenge,attack_family,Initial Access,323,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf
heldout_family,credential_access,27772,652,67447,0.14925104421719718,0.5,0.6448618915592984,attack_family_challenge,attack_family,Defense Evasion,326,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf
heldout_family,defense_evasion,49225,5000,652,0.08420518029456577,0.5,0.5,attack_family_challenge,attack_family,Credential Access,43494,rf_full,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf
heldout_family,exfiltration,95146,652,73,0.5004519370231013,0.5,0.3150684931506849,attack_family_challenge,attack_family,Defense Evasion,326,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf
heldout_family,initial_access,94097,652,1122,0.5003135062754391,0.5,0.5,attack_family_challenge,attack_family,Persistence,326,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf
heldout_family,persistence,89810,5000,652,0.49805144193296963,0.5,0.5,attack_family_challenge,attack_family,Reconnaissance,2909,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf
heldout_family,privilege_escalation,89810,5000,652,0.49805144193296963,0.5,0.5,attack_family_challenge,attack_family,Reconnaissance,2909,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf
heldout_family,reconnaissance,44059,5000,5818,0.03545246147211693,0.5,0.5,attack_family_challenge,attack_family,Credential Access,43494,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf,protocol_core_rf


