method,observed_f1_mean,worst_intervention_f1_mean,hidden_drop_mean,hidden_drop_max,dataset,role,delta_worst_f1_from_best,extra_hidden_drop_from_best
intervendb_adaptive_openworld_selector,0.9943270088096008,0.9939763890437744,0.0003506197658263,0.0035061976582634,UWF-2024,adaptive coverage/open-world selection,0.0,0.0003506197658263
intervendb_coverage_lift_openworld_selector,0.9943270088096008,0.9939763890437744,0.0003506197658263,0.0035061976582634,UWF-2024,coverage-lift open-world selector,0.0,0.0003506197658263
intervendb_coverage_openworld_selector,0.990160342142934,0.9898097223771078,0.0003506197658263,0.0035061976582634,UWF-2024,coverage open-world selector,0.004166666666666541,0.0003506197658263
intervendb_minimax_selector,0.9381113698779998,0.9381113698779998,0.0,0.0,UWF-2024,minimax-only selector,0.055865019165774576,0.0
intervendb_openworld_selector,0.9381113698779998,0.9381113698779998,0.0,0.0,UWF-2024,open-world selector,0.055865019165774576,0.0
intervendb_pareto_selector,0.9381113698779998,0.9381113698779998,0.0,0.0,UWF-2024,Pareto utility selector,0.055865019165774576,0.0
intervendb_shift_guard_selector,0.9381113698779998,0.9381113698779998,0.0,0.0,UWF-2024,shift guard selector,0.055865019165774576,0.0
intervendb_stability_selector,0.9381113698779998,0.9381113698779998,0.0,0.0,UWF-2024,stability-only selector,0.055865019165774576,0.0
intervendb_conformal_tail_guard,0.9325339325983596,0.931710264074158,0.0008236685242013,0.003011804703866,UWF-2024,conformal tail guard,0.062266124969616365,0.0008236685242013
intervendb_gated_conformal_tail_guard,0.9468856184494372,0.916095818497412,0.0307897999520252,0.1526917005136655,UWF-2024,gated conformal tail guard,0.07788057054636244,0.0307897999520252
intervendb_env_calibrated_ensemble,0.9221227258094108,0.8947481968738276,0.0273745289355833,0.2674577061899968,UWF-2024,environment-calibrated ensemble,0.09922819216994683,0.0273745289355833
intervendb_counterfactual_ensemble,0.9233440470391814,0.8941555316703964,0.0291885153687851,0.2764505119453925,UWF-2024,counterfactual weighted ensemble,0.09982085737337798,0.0291885153687851
intervendb_observed_selector,0.9270601114677314,0.8598806242882443,0.0671794871794871,0.6717948717948719,UWF-2024,observed-only selector,0.1340957647555301,0.0671794871794871
intervendb_tail_guard_ensemble,0.9095133990175296,0.8268674498803728,0.0826459491371568,0.1352941176470588,UWF-2024,tail-guard ensemble,0.16710893916340164,0.0826459491371568
intervendb_counterfactual_ensemble,0.9876549937483224,0.987654002257571,9.914907515377418e-07,2.2161401483922205e-06,Gotham-2025,counterfactual weighted ensemble,0.0,9.914907515377418e-07
intervendb_coverage_lift_openworld_selector,0.9876534746103022,0.9876534746103022,0.0,0.0,Gotham-2025,coverage-lift open-world selector,5.276472688775513e-07,0.0
intervendb_coverage_openworld_selector,0.9876534746103022,0.9876534746103022,0.0,0.0,Gotham-2025,coverage open-world selector,5.276472688775513e-07,0.0
intervendb_openworld_selector,0.9876534746103022,0.9876534746103022,0.0,0.0,Gotham-2025,open-world selector,5.276472688775513e-07,0.0
intervendb_pareto_selector,0.9876534746103022,0.9876534746103022,0.0,0.0,Gotham-2025,Pareto utility selector,5.276472688775513e-07,0.0
intervendb_stability_selector,0.9876534746103022,0.9876534746103022,0.0,0.0,Gotham-2025,stability-only selector,5.276472688775513e-07,0.0
intervendb_env_calibrated_ensemble,0.9876542550349398,0.9876532039991224,1.0510358171567091e-06,1.8995408805899672e-06,Gotham-2025,environment-calibrated ensemble,7.982584486754263e-07,1.0510358171567091e-06
intervendb_conformal_tail_guard,0.98716020373475,0.984585807775172,0.0025743959595778,0.0032973885574644,Gotham-2025,conformal tail guard,0.0030681944823990337,0.0025743959595778
intervendb_tail_guard_ensemble,0.9751430947547624,0.97437463453657,0.0007684602181923,0.0012552766098987,Gotham-2025,tail-guard ensemble,0.013279367721001023,0.0007684602181923
intervendb_adaptive_openworld_selector,0.9578910516336884,0.931849815369834,0.0260412362638545,0.0624252351790112,Gotham-2025,adaptive coverage/open-world selection,0.05580418688773703,0.0260412362638545
intervendb_minimax_selector,0.9741140414615668,0.9187362442811317,0.0553777971804351,0.1504349179287532,Gotham-2025,minimax-only selector,0.0689177579764394,0.0553777971804351
intervendb_observed_selector,0.9741140414615668,0.9187362442811317,0.0553777971804351,0.1504349179287532,Gotham-2025,observed-only selector,0.0689177579764394,0.0553777971804351
intervendb_shift_guard_selector,0.9741140414615668,0.9187362442811317,0.0553777971804351,0.1504349179287532,Gotham-2025,shift guard selector,0.0689177579764394,0.0553777971804351
intervendb_gated_conformal_tail_guard,0.9194819133556282,0.8829401224919983,0.0365417908636299,0.0624248885741188,Gotham-2025,gated conformal tail guard,0.10471387976557278,0.0365417908636299
