split,fold,model_observed_f1,model_worst_f1,model_hidden_drop,baseline_observed_f1,baseline_worst_f1,baseline_hidden_drop,dataset,model,baseline,worst_f1_gain,hidden_drop_reduction
heldout_family,reconnaissance,0.964682473884928,0.9611762762266644,0.0035061976582634,0.0905808992451591,0.0013740982480247,0.0892068009971344,UWF-2024,intervendb_adaptive_openworld_selector,cat_full,0.9598021779786396,0.085700603338871
heldout_family,defense_evasion,1.0,1.0,0.0,1.0,0.998468606431853,0.001531393568147,UWF-2024,intervendb_adaptive_openworld_selector,cat_full,0.0015313935681470214,0.001531393568147
heldout_family,exfiltration,1.0,1.0,0.0,1.0,1.0,0.0,UWF-2024,intervendb_adaptive_openworld_selector,cat_full,0.0,0.0
heldout_family,initial_access,1.0,1.0,0.0,1.0,0.9964476021314388,0.0035523978685613,UWF-2024,intervendb_adaptive_openworld_selector,cat_full,0.003552397868561208,0.0035523978685613
heldout_family,credential_access,0.9986797240049138,0.9986797240049138,0.0,0.999494438827098,0.9962321197475864,0.0032623190795116,UWF-2024,intervendb_adaptive_openworld_selector,cat_full,0.0024476042573273737,0.0032623190795116
heldout_family,persistence,0.9984686064318528,0.9984686064318528,0.0,1.0,0.998468606431853,0.001531393568147,UWF-2024,intervendb_adaptive_openworld_selector,cat_full,-2.220446049250313e-16,0.001531393568147
time,within_family_chronological,0.9960518894529048,0.9960518894529048,0.0,0.9988694513864096,0.9897959183673468,0.0090735330190626,UWF-2024,intervendb_adaptive_openworld_selector,cat_full,0.006255971085557976,0.0090735330190626
source_ip,within_family_source_ip,0.9959942705930908,0.9959942705930908,0.0,0.979612059355414,0.9789533701876596,0.0006586891677544,UWF-2024,intervendb_adaptive_openworld_selector,cat_full,0.01704090040543116,0.0006586891677544
random,all,0.995490684703928,0.995490684703928,0.0,0.9989289539450196,0.9963178524765413,0.0026111014684785,UWF-2024,intervendb_adaptive_openworld_selector,cat_full,-0.0008271677726132687,0.0026111014684785
heldout_family,privilege_escalation,0.9939024390243903,0.9939024390243903,0.0,0.998468606431853,0.9969325153374232,0.0015360910944296,UWF-2024,intervendb_adaptive_openworld_selector,cat_full,-0.00303007631303287,0.0015360910944296
random,all,0.9999901855469832,0.9999879694068348,2.2161401483922205e-06,0.9993153515024618,0.9914734695948566,0.0078418819076051,Gotham-2025,intervendb_counterfactual_ensemble,cat_full__val_robust_minimax,0.00851449981197816,0.007839665767456708
device,all,0.9999966571199584,0.9999962392615248,4.178584337433122e-07,0.9954891696810972,0.9280393250279017,0.0674498446531955,Gotham-2025,intervendb_counterfactual_ensemble,cat_full__val_robust_minimax,0.07195691423362316,0.06744942679476176
time,all,0.962978138578026,0.9629777981043536,3.4047367247769245e-07,0.9943573257174232,0.9154567655629308,0.0789005601544923,Gotham-2025,intervendb_counterfactual_ensemble,cat_full__val_robust_minimax,0.047521032541422814,0.07890021968081982
