detector,detector_family,feature_profile,observed_f1_mean,worst_intervention_f1_mean,hidden_drop_mean,hidden_drop_max,policy,base_detector
cat_full__oracle_env_upper_bound,catboost,full,0.9615054981015728,0.9584047708786348,0.0031007272229382,0.0257399389844928,oracle_env_upper_bound,cat_full
rf_full__oracle_env_upper_bound,sklearn_tree,full,0.9632594093744646,0.917278875217588,0.0459805341568765,0.3682188482260242,oracle_env_upper_bound,rf_full
xgb_full__oracle_env_upper_bound,xgboost,full,0.9130100554572989,0.9124474629970332,0.0005625924602656,0.001531393568147,oracle_env_upper_bound,xgb_full
gb_full__oracle_env_upper_bound,sklearn_boosting,full,0.9035884888563744,0.8989879148267075,0.004600574029667,0.0410215948879106,oracle_env_upper_bound,gb_full
cat_full,catboost,full,0.9065954409190952,0.8952990689359727,0.0112963719831226,0.0892068009971344,native_default,cat_full
lgbm_full__oracle_env_upper_bound,lightgbm,full,0.9035037132730044,0.895197266312838,0.0083064469601662,0.0410215948879106,oracle_env_upper_bound,lgbm_full
gb_full,sklearn_boosting,full,0.9013735952037092,0.8940532734966957,0.0073203217070136,0.0410215948879106,native_default,gb_full
xgb_full,xgboost,full,0.9014872190035448,0.8914857479448383,0.0100014710587064,0.0410215948879106,native_default,xgb_full
cat_full__val_observed_f1,catboost,full,0.9572772794792156,0.8737492665671327,0.0835280129120827,0.6675191815856778,val_observed_f1,cat_full
gb_full__val_robust_minimax,sklearn_boosting,full,0.8997766324195242,0.8710238288290606,0.0287528035904635,0.1016322928142463,val_robust_minimax,gb_full
gb_full__val_observed_f1,sklearn_boosting,full,0.9000858012996661,0.8649578598373087,0.0351279414623573,0.1016322928142463,val_observed_f1,gb_full
lgbm_full,lightgbm,full,0.9017577466232714,0.8635100171794473,0.0382477294438241,0.0921273031825795,native_default,lgbm_full
xgb_full__val_observed_f1,xgboost,full,0.9090561001313988,0.8616662825688624,0.0473898175625364,0.3225152129817444,val_observed_f1,xgb_full
xgb_full__val_robust_minimax,xgboost,full,0.9076748901513132,0.8565511709792712,0.051123719172042,0.3225152129817444,val_robust_minimax,xgb_full
cat_full__val_robust_minimax,catboost,full,0.9124498934212854,0.8448332113449644,0.0676166820763211,0.5598086124401913,val_robust_minimax,cat_full
iforest_env_sensitive__oracle_env_upper_bound,sklearn_anomaly,env_sensitive,0.9323001503770652,0.8324341780431823,0.0998659723338828,0.2001567388050593,oracle_env_upper_bound,iforest_env_sensitive
