feature,n_unique,nmi_label,cramers_v_label,nmi_attack_family,nmi_technique,top_values
dest_port_zeek,6,0.8398405442615609,0.984881586018596,0.9187362771628256,0.9224024739076974,"{""3"": 47217, ""9"": 43494, ""6"": 4520, ""0"": 564, ""11"": 47}"
proto,3,0.8143340883734285,0.9333691202196552,0.7081577380657011,0.7113253220509309,"{""tcp"": 51265, ""udp"": 44545, ""icmp"": 61}"
service,19,0.7569377626065451,0.95930585689217,0.8323428520683995,0.8396852591100207,"{""dns"": 44072, ""ssl"": 42951, ""missing"": 7721, ""http"": 509, ""ntp"": 330}"
is_common_dest_port,2,0.7561221717884178,0.9143618765147103,0.7970972388086828,0.8006718885005647,"{""1"": 50723, ""0"": 45148}"
history,58,0.646408357011637,0.9692699011597484,0.7391443202666069,0.7450738116039861,"{""ShADTdttFaf"": 42306, ""Dd"": 36028, ""D"": 8514, ""S"": 5703, ""A"": 714}"
resp_pkts,8,0.5157608439126101,0.9443812596132474,0.5864421157455653,0.5905871607101769,"{""3"": 27026, ""7"": 21721, ""10"": 20462, ""0"": 14985, ""5"": 9094}"
orig_resp_byte_ratio,8,0.4734598253560389,0.9011243522067792,0.5520226438008184,0.5559083774426141,"{""8"": 45740, ""1"": 21745, ""3"": 8275, ""4"": 7751, ""11"": 7113}"
total_pkts,10,0.4706842064572187,0.9551932791573304,0.5344128519676911,0.5379198934778138,"{""2"": 32411, ""7"": 11372, ""11"": 10780, ""5"": 10533, ""10"": 10388}"
orig_pkts,8,0.4351659092273816,0.9176367487089252,0.50717022252031,0.5107416237946509,"{""1"": 29899, ""9"": 16523, ""5"": 13978, ""7"": 11382, ""10"": 8830}"
resp_bytes,10,0.4115167718589022,0.916501831802002,0.4844906746314276,0.4873289951210012,"{""7"": 21754, ""1"": 16121, ""11"": 14689, ""3"": 13230, ""4"": 9134}"
resp_ip_bytes,11,0.4034154503303113,0.9117105281330328,0.4802710382308156,0.4830751278114303,"{""7"": 21700, ""0"": 14985, ""11"": 14709, ""2"": 13169, ""4"": 9134}"
total_bytes,11,0.3990193117480028,0.9354840245545348,0.4609050346063112,0.4641183619338163,"{""7"": 21745, ""0"": 9736, ""4"": 8700, ""2"": 8653, ""10"": 7994}"
orig_bytes,11,0.3984241787360168,0.9345702185035664,0.4607393664782951,0.4642926229352058,"{""7"": 21745, ""4"": 12089, ""0"": 9736, ""2"": 8784, ""10"": 8140}"
orig_resp_pkt_ratio,9,0.3808609152497597,0.866258831302695,0.443614851202139,0.4470630227548872,"{""7"": 39290, ""3"": 11496, ""0"": 10649, ""10"": 9373, ""11"": 6728}"
dest_ip_zeek,230,0.3713361676803659,0.997431686897107,0.4178312475055897,0.4205829444336845,"{""143.88.0.1"": 13302, ""143.88.0.17"": 13251, ""143.88.255.10"": 9283, ""143.88.4.13"": 6339, ""143.88.14.12"": 5367}"
