feature,n_unique,mi_label,nmi_label,mi_attack_family,nmi_attack_family,mi_technique,nmi_technique,cramers_v_label,top_values
dest_port_zeek,6,0.6638715343299822,0.8398405442615609,0.8218833879465003,0.9187362771628256,0.8218833879465003,0.9224024739076974,0.9848815860185959,"{""3"": 47217, ""9"": 43494, ""6"": 4520, ""0"": 564, ""11"": 47}"
proto,3,0.5654377260892851,0.8143340883734285,0.5654377260892861,0.7081577380657011,0.5654377260892861,0.7113253220509309,0.9333691202196553,"{""tcp"": 51265, ""udp"": 44545, ""icmp"": 61}"
service,19,0.6377263731727123,0.7569377626065451,0.787908511224305,0.8323428520683995,0.7918733494314332,0.8396852591100207,0.95930585689217,"{""dns"": 44072, ""ssl"": 42951, ""missing"": 7721, ""http"": 509, ""ntp"": 330}"
is_common_dest_port,2,0.523464303826384,0.7561221717884178,0.6348147993325177,0.7970972388086828,0.6348147993325177,0.8006718885005647,0.9143618765147105,"{""1"": 50723, ""0"": 45148}"
history,58,0.6502033210189655,0.646408357011637,0.8204338245634151,0.7391443202666069,0.8243662335104842,0.7450738116039861,0.9692699011597485,"{""ShADTdttFaf"": 42306, ""Dd"": 36028, ""D"": 8514, ""S"": 5703, ""A"": 714}"
resp_pkts,8,0.6061864200885925,0.5157608439126101,0.7503125918409643,0.5864421157455653,0.7535159933138138,0.5905871607101769,0.9443812596132474,"{""3"": 27026, ""7"": 21721, ""10"": 20462, ""0"": 14985, ""5"": 9094}"
orig_resp_byte_ratio,8,0.5207211126980253,0.4734598253560389,0.6645955835636331,0.5520226438008184,0.6672971317774556,0.5559083774426141,0.9011243522067793,"{""8"": 45740, ""1"": 21745, ""3"": 8275, ""4"": 7751, ""11"": 7113}"
total_pkts,10,0.6299047112919641,0.47068420645721876,0.7708272595946056,0.5344128519676911,0.7739731160351466,0.5379198934778138,0.9551932791573303,"{""2"": 32411, ""7"": 11372, ""11"": 10780, ""5"": 10533, ""10"": 10388}"
orig_pkts,8,0.5602886438440904,0.43516590922738163,0.705796244497036,0.50717022252031,0.7089503341824774,0.5107416237946509,0.9176367487089253,"{""1"": 29899, ""9"": 16523, ""5"": 13978, ""7"": 11382, ""10"": 8830}"
resp_bytes,10,0.5682480677527588,0.4115167718589022,0.7194538649498112,0.48449067463142764,0.7219359303002191,0.48732899512100125,0.9165018318020021,"{""7"": 21754, ""1"": 16121, ""11"": 14689, ""3"": 13230, ""4"": 9134}"
resp_ip_bytes,11,0.5602634876272758,0.4034154503303113,0.7170001286546897,0.48027103823081563,0.7194687455610372,0.4830751278114303,0.9117105281330327,"{""7"": 21700, ""0"": 14985, ""11"": 14709, ""2"": 13169, ""4"": 9134}"
total_bytes,11,0.5976698125964512,0.39901931174800287,0.7383485895288021,0.46090503460631127,0.7418459656863416,0.46411836193381634,0.9354840245545347,"{""7"": 21745, ""0"": 9736, ""4"": 8700, ""2"": 8653, ""10"": 7994}"
orig_bytes,11,0.5925384487751627,0.3984241787360168,0.7331801060817789,0.46073936647829516,0.7371836004055587,0.4642926229352058,0.9345702185035665,"{""7"": 21745, ""4"": 12089, ""0"": 9736, ""2"": 8784, ""10"": 8140}"
orig_resp_pkt_ratio,9,0.4825820760163284,0.3808609152497597,0.608279883227847,0.443614851202139,0.6114183950631965,0.44706302275488724,0.866258831302695,"{""7"": 39290, ""3"": 11496, ""0"": 10649, ""10"": 9373, ""11"": 6728}"
dest_ip_zeek,230,0.6862527653092914,0.3713361676803659,0.8156777786284402,0.4178312475055897,0.8195541290861388,0.42058294443368455,0.997431686897107,"{""143.88.0.1"": 13302, ""143.88.0.17"": 13251, ""143.88.255.10"": 9283, ""143.88.4.13"": 6339, ""143.88.14.12"": 5367}"
orig_ip_bytes,12,0.5648092226066854,0.3597199476670714,0.7301162761344936,0.43608741059491174,0.733270365819935,0.43890340626428737,0.9156561621506187,"{""3"": 11654, ""7"": 11366, ""1"": 9943, ""4"": 9052, ""8"": 8655}"
src_ip_zeek,91,0.6801351255272549,0.35898414935587014,0.72245602691265,0.36145980521969706,0.7226846932446018,0.3622185797448542,0.9957569663496524,"{""143.88.0.2"": 13330, ""143.88.0.18"": 13275, ""143.88.3.11"": 6449, ""143.88.4.11"": 5783, ""143.88.13.12"": 5475}"
total_ip_bytes,12,0.5556886348077069,0.35347197174369616,0.7127694029927902,0.4252308915813399,0.7157230565073709,0.42790069218606214,0.9155650763835521,"{""7"": 11360, ""0"": 10026, ""1"": 9887, ""3"": 9766, ""8"": 8658}"
duration,12,0.44844593807697164,0.2822142083594931,0.5889231749298753,0.3478302635949518,0.5918017713702038,0.35026598793478914,0.8426663945247402,"{""0"": 7994, ""3"": 7992, ""4"": 7990, ""8"": 7990, ""6"": 7990}"
bytes_per_sec,12,0.4460452400956072,0.28105867550406555,0.5759667793179919,0.34058198011970614,0.5797155084310478,0.3435209446703667,0.8225483511697353,"{""0"": 9736, ""6"": 7993, ""11"": 7990, ""9"": 7990, ""8"": 7989}"
pkts_per_sec,12,0.29949217623621255,0.18847523130168461,0.33516911549521516,0.1979578535071094,0.33815285132724954,0.20014040879257647,0.6872249247475524,"{""6"": 7999, ""8"": 7998, ""10"": 7991, ""4"": 7989, ""0"": 7989}"
src_port_zeek,12,0.21549620742525527,0.1356152121570033,0.2636244952773952,0.155702103106116,0.26363464465289854,0.1560357757367771,0.6097094304428644,"{""10"": 7991, ""6"": 7991, ""2"": 7991, ""8"": 7991, ""5"": 7990}"
ts_norm,12,0.14475363527712273,0.09109577854654907,0.14551681462335198,0.08594525279926467,0.14553111345825542,0.08613458230397081,0.47589921599890733,"{""8"": 7990, ""11"": 7990, ""4"": 7990, ""1"": 7989, ""6"": 7989}"
collector_window,12,0.13739095431056308,0.08743177013968367,0.13796618021234933,0.08234256741270049,0.13797683605938396,0.08252405167571907,0.46425254087198864,"{""1"": 11520, ""7"": 10463, ""9"": 10312, ""5"": 9722, ""10"": 8611}"
conn_state,6,0.048467157749336985,0.0786916634613201,0.19924280965819724,0.2767187326234037,0.20324407996242938,0.2836767626746091,0.29486316513300703,"{""SF"": 79739, ""S0"": 14217, ""OTH"": 775, ""REJ"": 581, ""RSTO"": 472}"
missed_bytes,2,0.0004263805431058837,0.001221174765251323,0.0004866365081001396,0.0010736293525350966,0.00048663650810015866,0.0010821180090317987,0.024799834556231828,"{""5"": 95812, ""11"": 59}"
