rows,mean_ms,min_ms,max_ms,table,query,max_per_cell
35,16.15579600000003,13.044100000000114,23.307100000000247,full,environment_metrics,8
245,13.895586000000042,12.61050000000008,17.516399999999877,full,semantic_cube,8
35,3.905270000000057,3.386700000000076,7.637200000000455,witness,environment_metrics,8
245,5.172173999999857,4.212400000000116,8.759200000000078,witness,semantic_cube,8
35,15.998901999999994,12.650799999999409,22.33049999999981,full,environment_metrics,16
245,14.02465200000002,12.547300000000485,18.206699999999465,full,semantic_cube,16
35,4.284028000000061,3.5783000000000342,7.470400000000765,witness,environment_metrics,16
245,5.089641999999958,4.428500000000391,7.9564999999997,witness,semantic_cube,16
35,15.941054000000015,13.237900000000025,21.901899999999586,full,environment_metrics,24
245,13.907464000000102,12.563300000000057,18.68840000000027,full,semantic_cube,24
35,4.297780000000042,3.7244999999996864,8.312499999999723,witness,environment_metrics,24
245,5.1337859999999225,4.431999999999547,10.05410000000051,witness,semantic_cube,24
35,15.654981999999952,12.68699999999967,23.6193999999994,full,environment_metrics,32
245,14.161215999999987,12.28670000000065,20.00829999999976,full,semantic_cube,32
35,4.435017999999981,3.73779999999968,7.570299999999364,witness,environment_metrics,32
245,5.407755999999981,4.725600000000441,7.983199999999968,witness,semantic_cube,32
35,15.960511999999964,13.391200000000048,23.597699999999836,full,environment_metrics,48
245,14.759625999999862,12.52299999999984,27.156699999999923,full,semantic_cube,48
35,4.80295999999992,3.921300000000016,7.418699999999667,witness,environment_metrics,48
245,5.896960000000036,4.800699999999658,9.63970000000014,witness,semantic_cube,48


